country_of_citizenship,year,iso3c,billionaire_count,total_wealth,current_gdp,percent_of_gdp
Thailand,1997,THA,2,3.8,150.180456565728,2.5302892845693883
Lebanon,1998,LBN,1,3.3,17.2471790055219,19.133563807411424
Germany,1999,DEU,1,7.1,2194.9452788725903,0.3234704786648184
Colombia,1999,COL,1,1.3,86.278947636962,1.5067406773087233
Switzerland,1999,CHE,1,2.9,297.873643323126,0.9735671701756277
France,1999,FRA,1,1.8,1493.15173769846,0.12055037371985483
Hong Kong,1999,HKG,1,1.1,165.768095391557,0.6635776307869831
India,1999,IND,1,1.0,458.82105261579,0.21794989447386698
Brazil,1999,BRA,1,1.0,599.6420243195311,0.16676616371822706
Lebanon,1999,LBN,1,2.5,17.3910563692265,14.37520497273388
France,2000,FRA,1,2.1,1365.63966079216,0.15377409285124768
Japan,2000,JPN,3,3.8,4968.35907595659,0.07648400491802944
Norway,2000,NOR,1,2.9,171.457201935968,1.6913841864064871
Brazil,2000,BRA,1,1.0,655.448231983527,0.15256735028085824
Germany,2000,DEU,1,4.5,1947.98199101177,0.23100829580373725
Switzerland,2000,CHE,1,1.9,279.216033870204,0.6804766809642571
Belgium,2001,BEL,1,1.0,236.74614160437,0.4223933675215349
Portugal,2001,PRT,1,1.0,121.60410716499699,0.8223406456520114
United Arab Emirates,2001,ARE,1,1.9,103.31164057181799,1.8390957587002972
United States,2001,USA,182,695.0,10581.929,6.567800634458991
Australia,2001,AUS,1,2.2,379.62930167510797,0.5795126957514968
Switzerland,2001,CHE,7,28.3,286.582672434226,9.874986425250526
Hong Kong,2001,HKG,11,44.0,169.404327616605,25.973362439465284
Russia,2001,RUS,5,7.4,306.6020706205,2.4135518670907574
Greece,2001,GRC,1,4.6,136.30929522534,3.3746781482477033
Denmark,2001,DNK,1,1.9,164.791442543375,1.152972490971367
South Korea,2001,KOR,2,2.6,547.656279894587,0.47475033071846606
Saudi Arabia,2001,SAU,3,25.1,184.1376,13.631110647689555
United Kingdom,2001,GBR,10,24.9,1649.82726356701,1.5092489104686595
Germany,2001,DEU,16,75.3,1945.7909738031499,3.86989152554358
Singapore,2001,SGP,1,1.0,89.7937906696515,1.1136627516695092
Spain,2001,ESP,5,11.0,627.8300294122049,1.7520665601641516
