country_of_citizenship,iso3c,lattitude,longitude,year,billionaire_count,total_wealth,current_gdp,percent_of_gdp
Hong Kong,HKG,22.3193,114.1694,1997,,,,
Singapore,SGP,1.3521,103.8198,1997,,,,
Monaco,MCO,43.7384,7.4246,1997,,,,
St. Kitts and Nevis,KNA,17.3578,-62.783,1997,,,,
Liechtenstein,LIE,47.166,9.5554,1997,,,,
Hong Kong,HKG,22.3193,114.1694,1998,,,,
Singapore,SGP,1.3521,103.8198,1998,,,,
Monaco,MCO,43.7384,7.4246,1998,,,,
St. Kitts and Nevis,KNA,17.3578,-62.783,1998,,,,
Liechtenstein,LIE,47.166,9.5554,1998,,,,
Hong Kong,HKG,22.3193,114.1694,1999,1.0,1.1,165.768095391557,0.6635776307869831
Singapore,SGP,1.3521,103.8198,1999,,,,
Monaco,MCO,43.7384,7.4246,1999,,,,
St. Kitts and Nevis,KNA,17.3578,-62.783,1999,,,,
Liechtenstein,LIE,47.166,9.5554,1999,,,,
Hong Kong,HKG,22.3193,114.1694,2000,,,,
Singapore,SGP,1.3521,103.8198,2000,,,,
Monaco,MCO,43.7384,7.4246,2000,,,,
St. Kitts and Nevis,KNA,17.3578,-62.783,2000,,,,
Liechtenstein,LIE,47.166,9.5554,2000,,,,
Hong Kong,HKG,22.3193,114.1694,2001,11.0,44.0,169.404327616605,25.973362439465284
Singapore,SGP,1.3521,103.8198,2001,1.0,1.0,89.7937906696515,1.1136627516695092
Monaco,MCO,43.7384,7.4246,2001,,,,
St. Kitts and Nevis,KNA,17.3578,-62.783,2001,,,,
Liechtenstein,LIE,47.166,9.5554,2001,,,,
Hong Kong,HKG,22.3193,114.1694,2002,8.0,33.6,166.34886613102802,20.198514592539684
Singapore,SGP,1.3521,103.8198,2002,1.0,1.2,92.5383728696942,1.296759347270729
Monaco,MCO,43.7384,7.4246,2002,,,,
St. Kitts and Nevis,KNA,17.3578,-62.783,2002,,,,
Liechtenstein,LIE,47.166,9.5554,2002,,,,
Hong Kong,HKG,22.3193,114.1694,2003,7.0,25.4,161.38555880181102,15.738706851207414
Singapore,SGP,1.3521,103.8198,2003,2.0,2.9000000000000004,97.6464010956369,2.969899522625192
Monaco,MCO,43.7384,7.4246,2003,,,,
St. Kitts and Nevis,KNA,17.3578,-62.783,2003,,,,
Liechtenstein,LIE,47.166,9.5554,2003,,,,
Hong Kong,HKG,22.3193,114.1694,2004,11.0,46.3,169.099768875193,27.38028579694424
